max_decision;#decision;detail;#vars;#clauses;#literals;added_confilcts;shrink;deleted_conflict_clauses;delete_clauses;added_confilcts_literals;deleted_total_literals;implications;run_time;type
"11
";"25
";"3 + 21 + 0
";"10315
";"10315
";"21169
";"7
";"0
";"0
";"0
";"126
";"0
";"10559
";"0.00184
";1
"7
";"8
";"0 + 7 + 0
";"10309
";"10309
";"21163
";"0
";"0
";"0
";"0
";"0
";"0
";"10309
";"0.00164
";2
"22
";"96
";"12 + 83 + 0
";"20586
";"20587
";"42259
";"18
";"0
";"0
";"0
";"515
";"0
";"22057
";"0.004511
";all
"13
";"18
";"0 + 17 + 0
";"10313
";"10313
";"21167
";"2
";"0
";"0
";"0
";"30
";"0
";"10347
";"0.001733
";1
"30
";"33
";"0 + 32 + 0
";"10310
";"10310
";"21164
";"1
";"0
";"0
";"0
";"21
";"0
";"10339
";"0.001743
";2
"45
";"52
";"0 + 51 + 0
";"20585
";"20586
";"42258
";"3
";"0
";"0
";"0
";"51
";"0
";"20648
";"0.003792
";all
"23
";"36
";"1 + 34 + 0
";"10308
";"10308
";"21162
";"4
";"0
";"0
";"0
";"74
";"0
";"10430
";"0.001683
";1
"11
";"16
";"0 + 15 + 0
";"10312
";"10312
";"21166
";"1
";"0
";"0
";"0
";"15
";"0
";"10357
";"0.001755
";2
"35
";"46
";"0 + 45 + 0
";"20583
";"20584
";"42256
";"5
";"0
";"0
";"0
";"114
";"0
";"20773
";"0.003748
";all
"19
";"31
";"1 + 29 + 0
";"10309
";"10309
";"21163
";"5
";"0
";"0
";"0
";"154
";"0
";"10526
";"0.001884
";1
"25
";"28
";"0 + 27 + 0
";"10307
";"10307
";"21161
";"1
";"0
";"0
";"0
";"15
";"0
";"10325
";"0.001692
";2
"0
";"0
";"0 + 0 + 0
";"10329
";"21947
";"44377
";"0
";"0
";"0
";"0
";"0
";"0
";"9661
";"0.001212
";all
"13
";"22
";"0 + 21 + 0
";"10310
";"10310
";"21164
";"3
";"0
";"0
";"0
";"88
";"0
";"10429
";"0.001747
";1
"14
";"22
";"0 + 21 + 0
";"10310
";"10310
";"21164
";"1
";"0
";"0
";"0
";"15
";"0
";"10357
";"0.001735
";2
"47
";"163
";"33 + 87 + 42
";"20583
";"20584
";"42256
";"16
";"2
";"0
";"0
";"644
";"0
";"22266
";"0.004588
";all
"0
";"0
";"0 + 0 + 0
";"10309
";"19738
";"39961
";"0
";"0
";"0
";"0
";"0
";"0
";"9667
";"0.001855
";1
"0
";"0
";"0 + 0 + 0
";"10316
";"10319
";"21173
";"0
";"0
";"0
";"0
";"0
";"0
";"10029
";"0.001666
";2
"36
";"39
";"0 + 38 + 0
";"20588
";"20589
";"42261
";"1
";"0
";"0
";"0
";"40
";"0
";"20643
";"0.003948
";all
"33
";"52
";"2 + 49 + 0
";"10305
";"10305
";"21159
";"4
";"0
";"0
";"0
";"165
";"0
";"10613
";"0.001884
";1
"16
";"24
";"0 + 23 + 0
";"10312
";"10312
";"21166
";"3
";"0
";"0
";"0
";"45
";"0
";"10423
";"0.001898
";2
"44
";"68
";"0 + 67 + 0
";"20580
";"20581
";"42253
";"6
";"0
";"0
";"0
";"149
";"0
";"20892
";"0.004078
";all
"17
";"31
";"2 + 28 + 0
";"10312
";"10312
";"21166
";"3
";"0
";"0
";"0
";"61
";"0
";"10516
";"0.001757
";1
"15
";"20
";"0 + 19 + 0
";"10309
";"10309
";"21163
";"1
";"0
";"0
";"0
";"15
";"0
";"10359
";"0.001638
";2
"33
";"110
";"15 + 94 + 0
";"20583
";"20584
";"42256
";"20
";"0
";"0
";"0
";"516
";"0
";"22092
";"0.004588
";all
"11
";"21
";"0 + 20 + 0
";"10312
";"10312
";"21166
";"2
";"0
";"0
";"0
";"51
";"0
";"10443
";"0.001801
";1
"13
";"35
";"3 + 31 + 0
";"10310
";"10310
";"21164
";"6
";"0
";"0
";"0
";"136
";"0
";"10719
";"0.001994
";2
"19
";"35
";"0 + 34 + 0
";"20585
";"20586
";"42258
";"5
";"0
";"0
";"0
";"196
";"0
";"20843
";"0.0039
";all
"32
";"48
";"3 + 44 + 0
";"10308
";"10308
";"21162
";"5
";"0
";"0
";"0
";"112
";"0
";"10510
";"0.001999
";1
"24
";"30
";"0 + 29 + 0
";"10307
";"10307
";"21161
";"3
";"0
";"0
";"0
";"45
";"0
";"10439
";"0.001769
";2
"40
";"204
";"89 + 114 + 0
";"20578
";"20579
";"42251
";"70
";"0
";"0
";"0
";"1669
";"0
";"23455
";"0.005538
";all
"34
";"102
";"47 + 54 + 0
";"10305
";"10305
";"21159
";"50
";"0
";"0
";"0
";"1163
";"0
";"11892
";"0.002648
";1
"6
";"12
";"0 + 11 + 0
";"10320
";"10320
";"21174
";"2
";"0
";"0
";"0
";"36
";"0
";"10405
";"0.001821
";2
"53
";"258
";"144 + 80 + 33
";"20588
";"20589
";"42261
";"89
";"1
";"0
";"0
";"2268
";"0
";"24783
";"0.006623
";all
"17
";"19
";"0 + 18 + 0
";"10309
";"10309
";"21163
";"1
";"0
";"0
";"0
";"28
";"0
";"10340
";"0.00187
";1
"22
";"55
";"3 + 51 + 0
";"10307
";"10307
";"21161
";"9
";"0
";"0
";"0
";"179
";"0
";"10722
";"0.002071
";2
"34
";"68
";"2 + 65 + 0
";"20579
";"20580
";"42252
";"8
";"0
";"0
";"0
";"172
";"0
";"21009
";"0.004174
";all
"25
";"53
";"1 + 51 + 0
";"10309
";"10309
";"21163
";"4
";"0
";"0
";"0
";"77
";"0
";"10482
";"0.001785
";1
"18
";"23
";"0 + 22 + 0
";"10309
";"10309
";"21163
";"2
";"0
";"0
";"0
";"30
";"0
";"10412
";"0.001743
";2
"62
";"185
";"30 + 125 + 29
";"20581
";"20582
";"42254
";"13
";"1
";"0
";"0
";"479
";"0
";"22010
";"0.004888
";all
"21
";"33
";"0 + 32 + 0
";"10310
";"10310
";"21164
";"1
";"0
";"0
";"0
";"15
";"0
";"10419
";"0.001778
";1
"45
";"297
";"138 + 63 + 95
";"10308
";"10308
";"21162
";"31
";"4
";"0
";"0
";"1466
";"0
";"12707
";"0.003666
";2
"45
";"57
";"0 + 56 + 0
";"20581
";"20582
";"42254
";"1
";"0
";"0
";"0
";"15
";"0
";"20690
";"0.004004
";all
"29
";"37
";"0 + 36 + 0
";"10307
";"10307
";"21161
";"4
";"0
";"0
";"0
";"81
";"0
";"10406
";"0.00196
";1
"12
";"17
";"0 + 16 + 0
";"10315
";"10315
";"21169
";"2
";"0
";"0
";"0
";"87
";"0
";"10434
";"0.001855
";2
"35
";"47
";"0 + 46 + 0
";"20585
";"20586
";"42258
";"5
";"0
";"0
";"0
";"139
";"0
";"20785
";"0.004062
";all
"25
";"113
";"57 + 29 + 26
";"10313
";"10313
";"21167
";"23
";"2
";"0
";"0
";"1236
";"0
";"11941
";"0.002798
";1
"18
";"26
";"3 + 22 + 0
";"10308
";"10308
";"21162
";"5
";"0
";"0
";"0
";"107
";"0
";"10454
";"0.001874
";2
"22
";"30
";"1 + 28 + 0
";"20584
";"20585
";"42257
";"5
";"0
";"0
";"0
";"126
";"0
";"20738
";"0.003872
";all
"31
";"34
";"0 + 33 + 0
";"10307
";"10307
";"21161
";"1
";"0
";"0
";"0
";"15
";"0
";"10323
";"0.001877
";1
"35
";"43
";"3 + 39 + 0
";"10305
";"10305
";"21159
";"5
";"0
";"0
";"0
";"135
";"0
";"10462
";"0.001822
";2
"65
";"76
";"3 + 72 + 0
";"20574
";"20575
";"42247
";"6
";"0
";"0
";"0
";"150
";"0
";"20747
";"0.004173
";all
