max_decision;#decision;detail;#vars;#clauses;#literals;added_confilcts;shrink;deleted_conflict_clauses;delete_clauses;added_confilcts_literals;deleted_total_literals;implications;run_time;type
"0
";"1
";"0 + 0 + 0
";"10335
";"10335
";"21189
";"0
";"0
";"0
";"0
";"0
";"0
";"10335
";"0.002209
";1
"0
";"1
";"0 + 0 + 0
";"10346
";"10346
";"21200
";"0
";"0
";"0
";"0
";"0
";"0
";"10346
";"0.002179
";2
"0
";"1
";"0 + 0 + 0
";"18770
";"18795
";"38631
";"0
";"0
";"0
";"0
";"0
";"0
";"18770
";"0.004541
";all
"1
";"2
";"0 + 1 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002049
";1
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.001364
";2
"0
";"1
";"0 + 0 + 0
";"18769
";"18794
";"38630
";"0
";"0
";"0
";"0
";"0
";"0
";"18769
";"0.004427
";all
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.001378
";1
"1
";"2
";"0 + 1 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.001406
";2
"0
";"1
";"0 + 0 + 0
";"18772
";"18797
";"38633
";"0
";"0
";"0
";"0
";"0
";"0
";"18772
";"0.004267
";all
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.001307
";1
"0
";"1
";"0 + 0 + 0
";"10346
";"10346
";"21200
";"0
";"0
";"0
";"0
";"0
";"0
";"10346
";"0.00233
";2
"0
";"1
";"0 + 0 + 0
";"18770
";"18795
";"38631
";"0
";"0
";"0
";"0
";"0
";"0
";"18770
";"0.004535
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002327
";1
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.002368
";2
"0
";"1
";"0 + 0 + 0
";"18768
";"18793
";"38629
";"0
";"0
";"0
";"0
";"0
";"0
";"18768
";"0.004742
";all
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.00227
";1
"0
";"1
";"0 + 0 + 0
";"10347
";"10347
";"21201
";"0
";"0
";"0
";"0
";"0
";"0
";"10347
";"0.002264
";2
"0
";"1
";"0 + 0 + 0
";"18773
";"18798
";"38634
";"0
";"0
";"0
";"0
";"0
";"0
";"18773
";"0.004419
";all
"2
";"3
";"0 + 2 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002274
";1
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002135
";2
"246
";"675
";"133 + 449 + 92
";"18769
";"14826
";"30786
";"129
";"1
";"0
";"0
";"6054
";"0
";"25439
";"0.009678
";all
"118
";"177
";"36 + 140 + 0
";"10340
";"9646
";"19859
";"42
";"0
";"0
";"0
";"991
";"0
";"12074
";"0.003399
";1
"124
";"130
";"0 + 129 + 0
";"10341
";"9983
";"20533
";"1
";"0
";"0
";"0
";"22
";"0
";"10377
";"0.002275
";2
"0
";"1
";"0 + 0 + 0
";"18767
";"18792
";"38628
";"0
";"0
";"0
";"0
";"0
";"0
";"18767
";"0.004406
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002282
";1
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002379
";2
"0
";"1
";"0 + 0 + 0
";"18772
";"18797
";"38633
";"0
";"0
";"0
";"0
";"0
";"0
";"18772
";"0.003646
";all
"0
";"0
";"0 + 0 + 0
";"10345
";"10348
";"21202
";"0
";"0
";"0
";"0
";"0
";"0
";"9792
";"0.002052
";1
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.002091
";2
"0
";"1
";"0 + 0 + 0
";"18774
";"18799
";"38635
";"0
";"0
";"0
";"0
";"0
";"0
";"18774
";"0.002877
";all
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.002053
";1
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002174
";2
"0
";"1
";"0 + 0 + 0
";"18770
";"18795
";"38631
";"0
";"0
";"0
";"0
";"0
";"0
";"18770
";"0.004617
";all
"0
";"1
";"0 + 0 + 0
";"10349
";"10349
";"21203
";"0
";"0
";"0
";"0
";"0
";"0
";"10349
";"0.002257
";1
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.002208
";2
"0
";"1
";"0 + 0 + 0
";"18773
";"18798
";"38634
";"0
";"0
";"0
";"0
";"0
";"0
";"18773
";"0.004348
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.0023
";1
"0
";"1
";"0 + 0 + 0
";"10347
";"10347
";"21201
";"0
";"0
";"0
";"0
";"0
";"0
";"10347
";"0.002072
";2
"3
";"4
";"0 + 3 + 0
";"20466
";"20470
";"41980
";"0
";"0
";"0
";"0
";"0
";"0
";"20466
";"0.004709
";all
"0
";"0
";"0 + 0 + 0
";"10343
";"22027
";"44451
";"0
";"0
";"0
";"0
";"0
";"0
";"9713
";"0.002555
";1
"0
";"1
";"0 + 0 + 0
";"10347
";"10347
";"21201
";"0
";"0
";"0
";"0
";"0
";"0
";"10347
";"0.002213
";2
"0
";"1
";"0 + 0 + 0
";"18775
";"18800
";"38636
";"0
";"0
";"0
";"0
";"0
";"0
";"18775
";"0.00459
";all
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002161
";1
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002164
";2
"0
";"1
";"0 + 0 + 0
";"18771
";"18796
";"38632
";"0
";"0
";"0
";"0
";"0
";"0
";"18771
";"0.004358
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002247
";1
"0
";"1
";"0 + 0 + 0
";"10346
";"10346
";"21200
";"0
";"0
";"0
";"0
";"0
";"0
";"10346
";"0.002152
";2
"0
";"1
";"0 + 0 + 0
";"18769
";"18794
";"38630
";"0
";"0
";"0
";"0
";"0
";"0
";"18769
";"0.004353
";all
"0
";"1
";"0 + 0 + 0
";"10351
";"10351
";"21205
";"0
";"0
";"0
";"0
";"0
";"0
";"10351
";"0.002284
";1
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.001612
";2
"0
";"1
";"0 + 0 + 0
";"18775
";"18800
";"38636
";"0
";"0
";"0
";"0
";"0
";"0
";"18775
";"0.004506
";all
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.002098
";1
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002191
";2
"0
";"1
";"0 + 0 + 0
";"18768
";"18793
";"38629
";"0
";"0
";"0
";"0
";"0
";"0
";"18768
";"0.00454
";all
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.001462
";1
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.002229
";2
"0
";"1
";"0 + 0 + 0
";"18770
";"18795
";"38631
";"0
";"0
";"0
";"0
";"0
";"0
";"18770
";"0.004316
";all
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.002339
";1
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002179
";2
"0
";"1
";"0 + 0 + 0
";"18772
";"18797
";"38633
";"0
";"0
";"0
";"0
";"0
";"0
";"18772
";"0.00447
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.0021
";1
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.002158
";2
"0
";"1
";"0 + 0 + 0
";"18769
";"18794
";"38630
";"0
";"0
";"0
";"0
";"0
";"0
";"18769
";"0.003104
";all
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002235
";1
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002288
";2
"0
";"1
";"0 + 0 + 0
";"18775
";"18800
";"38636
";"0
";"0
";"0
";"0
";"0
";"0
";"18775
";"0.004368
";all
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002187
";1
"0
";"1
";"0 + 0 + 0
";"10347
";"10347
";"21201
";"0
";"0
";"0
";"0
";"0
";"0
";"10347
";"0.002209
";2
"0
";"1
";"0 + 0 + 0
";"18773
";"18798
";"38634
";"0
";"0
";"0
";"0
";"0
";"0
";"18773
";"0.004589
";all
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002213
";1
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002197
";2
"0
";"1
";"0 + 0 + 0
";"18769
";"18794
";"38630
";"0
";"0
";"0
";"0
";"0
";"0
";"18769
";"0.004458
";all
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.001809
";1
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.00199
";2
"749
";"750
";"0 + 749 + 0
";"18772
";"8399
";"17931
";"0
";"0
";"0
";"0
";"0
";"0
";"18772
";"0.004795
";all
"0
";"1
";"0 + 0 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.001625
";1
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.002129
";2
"0
";"1
";"0 + 0 + 0
";"18774
";"18799
";"38635
";"0
";"0
";"0
";"0
";"0
";"0
";"18774
";"0.004537
";all
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.001566
";1
"0
";"1
";"0 + 0 + 0
";"10339
";"10339
";"21193
";"0
";"0
";"0
";"0
";"0
";"0
";"10339
";"0.002159
";2
"0
";"1
";"0 + 0 + 0
";"18770
";"18795
";"38631
";"0
";"0
";"0
";"0
";"0
";"0
";"18770
";"0.004533
";all
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002291
";1
"1
";"2
";"0 + 1 + 0
";"10343
";"10343
";"21197
";"0
";"0
";"0
";"0
";"0
";"0
";"10343
";"0.002239
";2
"1
";"2
";"0 + 1 + 0
";"20017
";"20026
";"41086
";"0
";"0
";"0
";"0
";"0
";"0
";"20017
";"0.004483
";all
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.002196
";1
"0
";"1
";"0 + 0 + 0
";"0
";"0
";"0
";"0
";"0
";"0
";"0
";"0
";"0
";"0
";"2.8e-05
";2
"0
";"1
";"0 + 0 + 0
";"18768
";"18793
";"38629
";"0
";"0
";"0
";"0
";"0
";"0
";"18768
";"0.004491
";all
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.002092
";1
"0
";"1
";"0 + 0 + 0
";"10340
";"10340
";"21194
";"0
";"0
";"0
";"0
";"0
";"0
";"10340
";"0.002059
";2
"0
";"1
";"0 + 0 + 0
";"18771
";"18796
";"38632
";"0
";"0
";"0
";"0
";"0
";"0
";"18771
";"0.004456
";all
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002192
";1
"0
";"1
";"0 + 0 + 0
";"10347
";"10347
";"21201
";"0
";"0
";"0
";"0
";"0
";"0
";"10347
";"0.002134
";2
"0
";"1
";"0 + 0 + 0
";"18775
";"18800
";"38636
";"0
";"0
";"0
";"0
";"0
";"0
";"18775
";"0.004624
";all
"0
";"1
";"0 + 0 + 0
";"10342
";"10342
";"21196
";"0
";"0
";"0
";"0
";"0
";"0
";"10342
";"0.002296
";1
"0
";"1
";"0 + 0 + 0
";"10346
";"10346
";"21200
";"0
";"0
";"0
";"0
";"0
";"0
";"10346
";"0.002314
";2
"0
";"1
";"0 + 0 + 0
";"18774
";"18799
";"38635
";"0
";"0
";"0
";"0
";"0
";"0
";"18774
";"0.003411
";all
"0
";"1
";"0 + 0 + 0
";"10344
";"10344
";"21198
";"0
";"0
";"0
";"0
";"0
";"0
";"10344
";"0.00228
";1
"0
";"1
";"0 + 0 + 0
";"10338
";"10338
";"21192
";"0
";"0
";"0
";"0
";"0
";"0
";"10338
";"0.002279
";2
"0
";"1
";"0 + 0 + 0
";"18769
";"18794
";"38630
";"0
";"0
";"0
";"0
";"0
";"0
";"18769
";"0.004326
";all
"0
";"1
";"0 + 0 + 0
";"10345
";"10345
";"21199
";"0
";"0
";"0
";"0
";"0
";"0
";"10345
";"0.002072
";1
