max_decision;#decision;detail;#vars;#clauses;#literals;added_confilcts;shrink;deleted_conflict_clauses;delete_clauses;added_confilcts_literals;deleted_total_literals;implications;run_time;type
"6
";"10
";"0 + 9 + 0
";"10322
";"10322
";"21176
";"2
";"0
";"0
";"0
";"81
";"0
";"10403
";"0.001226
";1
"2
";"3
";"0 + 2 + 0
";"10321
";"10321
";"21175
";"0
";"0
";"0
";"0
";"0
";"0
";"10321
";"0.001927
";2
"7
";"12
";"0 + 11 + 0
";"17025
";"17061
";"35205
";"2
";"0
";"0
";"0
";"30
";"0
";"17134
";"0.00346
";all
"11
";"21
";"3 + 17 + 0
";"10316
";"10316
";"21170
";"6
";"0
";"0
";"0
";"275
";"0
";"10618
";"0.001953
";1
"2
";"3
";"0 + 2 + 0
";"10323
";"10323
";"21177
";"0
";"0
";"0
";"0
";"0
";"0
";"10323
";"0.001811
";2
"2
";"3
";"0 + 2 + 0
";"17026
";"17062
";"35206
";"0
";"0
";"0
";"0
";"0
";"0
";"17026
";"0.003359
";all
"3
";"4
";"0 + 3 + 0
";"10324
";"10324
";"21178
";"0
";"0
";"0
";"0
";"0
";"0
";"10324
";"0.001143
";1
"0
";"1
";"0 + 0 + 0
";"10325
";"10325
";"21179
";"0
";"0
";"0
";"0
";"0
";"0
";"10325
";"0.001737
";2
"285
";"950
";"110 + 659 + 180
";"17032
";"12714
";"26562
";"89
";"2
";"0
";"0
";"4747
";"0
";"26116
";"0.00753
";all
"6
";"12
";"0 + 11 + 0
";"10310
";"10315
";"21169
";"2
";"0
";"0
";"0
";"30
";"0
";"10389
";"0.001786
";1
"2
";"3
";"0 + 2 + 0
";"10320
";"10320
";"21174
";"0
";"0
";"0
";"0
";"0
";"0
";"10320
";"0.001562
";2
"4
";"5
";"0 + 4 + 0
";"17024
";"17060
";"35204
";"0
";"0
";"0
";"0
";"0
";"0
";"17024
";"0.002814
";all
"6
";"7
";"0 + 6 + 0
";"10316
";"10316
";"21170
";"0
";"0
";"0
";"0
";"0
";"0
";"10316
";"0.001892
";1
"8
";"21
";"1 + 19 + 0
";"10317
";"10317
";"21171
";"8
";"0
";"0
";"0
";"218
";"0
";"10568
";"0.002085
";2
"4
";"5
";"0 + 4 + 0
";"17020
";"17056
";"35200
";"0
";"0
";"0
";"0
";"0
";"0
";"17020
";"0.00257
";all
"5
";"6
";"0 + 5 + 0
";"10318
";"10318
";"21172
";"0
";"0
";"0
";"0
";"0
";"0
";"10318
";"0.001911
";1
"4
";"9
";"0 + 8 + 0
";"10318
";"10318
";"21172
";"2
";"0
";"0
";"0
";"98
";"0
";"10414
";"0.001928
";2
"3
";"4
";"0 + 3 + 0
";"17021
";"17057
";"35201
";"0
";"0
";"0
";"0
";"0
";"0
";"17021
";"0.003352
";all
"2
";"3
";"0 + 2 + 0
";"10318
";"10318
";"21172
";"0
";"0
";"0
";"0
";"0
";"0
";"10318
";"0.002013
";1
"3
";"6
";"0 + 5 + 0
";"10316
";"10316
";"21170
";"1
";"0
";"0
";"0
";"15
";"0
";"10332
";"0.001862
";2
"5
";"6
";"0 + 5 + 0
";"17023
";"17059
";"35203
";"0
";"0
";"0
";"0
";"0
";"0
";"17023
";"0.003376
";all
"1
";"2
";"0 + 1 + 0
";"10324
";"10324
";"21178
";"0
";"0
";"0
";"0
";"0
";"0
";"10324
";"0.001269
";1
"1
";"2
";"0 + 1 + 0
";"10323
";"10323
";"21177
";"0
";"0
";"0
";"0
";"0
";"0
";"10323
";"0.001161
";2
"2
";"3
";"0 + 2 + 0
";"17027
";"17063
";"35207
";"0
";"0
";"0
";"0
";"0
";"0
";"17027
";"0.003193
";all
"2
";"3
";"0 + 2 + 0
";"10324
";"10324
";"21178
";"0
";"0
";"0
";"0
";"0
";"0
";"10324
";"0.001279
";1
"1
";"2
";"0 + 1 + 0
";"10320
";"10320
";"21174
";"0
";"0
";"0
";"0
";"0
";"0
";"10320
";"0.001222
";2
"0
";"1
";"0 + 0 + 0
";"17029
";"17065
";"35209
";"0
";"0
";"0
";"0
";"0
";"0
";"17029
";"0.003325
";all
"8
";"10
";"0 + 9 + 0
";"10315
";"10315
";"21169
";"1
";"0
";"0
";"0
";"29
";"0
";"10339
";"0.001355
";1
"2
";"5
";"0 + 4 + 0
";"10315
";"10315
";"21169
";"1
";"0
";"0
";"0
";"22
";"0
";"10337
";"0.001252
";2
"3
";"4
";"0 + 3 + 0
";"17022
";"17058
";"35202
";"0
";"0
";"0
";"0
";"0
";"0
";"17022
";"0.003481
";all
"8
";"10
";"0 + 9 + 0
";"10319
";"10319
";"21173
";"1
";"0
";"0
";"0
";"35
";"0
";"10364
";"0.001848
";1
"0
";"1
";"0 + 0 + 0
";"10319
";"10319
";"21173
";"0
";"0
";"0
";"0
";"0
";"0
";"10319
";"0.001926
";2
"2
";"3
";"0 + 2 + 0
";"17025
";"17061
";"35205
";"0
";"0
";"0
";"0
";"0
";"0
";"17025
";"0.002787
";all
"4
";"6
";"0 + 5 + 0
";"10316
";"10316
";"21170
";"1
";"0
";"0
";"0
";"41
";"0
";"10380
";"0.001835
";1
"11
";"12
";"0 + 11 + 0
";"10317
";"10317
";"21171
";"0
";"0
";"0
";"0
";"0
";"0
";"10317
";"0.001392
";2
"0
";"0
";"0 + 0 + 0
";"10316
";"15873
";"32236
";"0
";"0
";"0
";"0
";"0
";"0
";"9659
";"0.001271
";all
"5
";"8
";"0 + 7 + 0
";"10319
";"10319
";"21173
";"3
";"0
";"0
";"0
";"61
";"0
";"10432
";"0.00147
";1
"10
";"14
";"0 + 13 + 0
";"10315
";"10315
";"21169
";"2
";"0
";"0
";"0
";"30
";"0
";"10354
";"0.001699
";2
"2
";"3
";"0 + 2 + 0
";"17022
";"17058
";"35202
";"0
";"0
";"0
";"0
";"0
";"0
";"17022
";"0.00219
";all
"0
";"1
";"0 + 0 + 0
";"10326
";"10326
";"21180
";"0
";"0
";"0
";"0
";"0
";"0
";"10326
";"0.001875
";1
