max_decision;#decision;detail;#vars;#clauses;#literals;added_confilcts;shrink;deleted_conflict_clauses;delete_clauses;added_confilcts_literals;deleted_total_literals;implications;run_time;type
"1
";"2
";"0 + 1 + 0
";"10329
";"10329
";"21183
";"0
";"0
";"0
";"0
";"0
";"0
";"10329
";"0.002135
";1
"3
";"6
";"0 + 5 + 0
";"10316
";"10316
";"21170
";"2
";"0
";"0
";"0
";"30
";"0
";"10337
";"0.002292
";2
"13
";"16
";"0 + 15 + 0
";"20592
";"20593
";"42265
";"1
";"0
";"0
";"0
";"15
";"0
";"20663
";"0.00508
";all
"11
";"17
";"0 + 16 + 0
";"10311
";"10311
";"21165
";"3
";"0
";"0
";"0
";"45
";"0
";"10417
";"0.002454
";1
"11
";"24
";"2 + 21 + 0
";"10313
";"10313
";"21167
";"5
";"0
";"0
";"0
";"146
";"0
";"10524
";"0.002518
";2
"22
";"40
";"2 + 37 + 0
";"20586
";"20587
";"42259
";"8
";"0
";"0
";"0
";"191
";"0
";"20903
";"0.00496
";all
"11
";"12
";"0 + 11 + 0
";"10313
";"10313
";"21167
";"0
";"0
";"0
";"0
";"0
";"0
";"10313
";"0.002137
";1
"16
";"23
";"0 + 22 + 0
";"10312
";"10312
";"21166
";"2
";"0
";"0
";"0
";"55
";"0
";"10396
";"0.002358
";2
"22
";"32
";"0 + 31 + 0
";"20588
";"20589
";"42261
";"6
";"0
";"0
";"0
";"174
";"0
";"20827
";"0.004583
";all
"15
";"89
";"51 + 37 + 0
";"10314
";"10314
";"21168
";"39
";"0
";"0
";"0
";"1435
";"0
";"12039
";"0.003808
";1
"17
";"49
";"8 + 24 + 16
";"10315
";"10315
";"21169
";"13
";"1
";"0
";"0
";"522
";"0
";"10940
";"0.002715
";2
"27
";"106
";"49 + 56 + 0
";"20592
";"20593
";"42265
";"26
";"0
";"0
";"0
";"613
";"0
";"21899
";"0.005651
";all
"15
";"36
";"1 + 34 + 0
";"10314
";"10314
";"21168
";"4
";"0
";"0
";"0
";"125
";"0
";"10533
";"0.002353
";1
"22
";"33
";"3 + 29 + 0
";"10311
";"10311
";"21165
";"9
";"0
";"0
";"0
";"418
";"0
";"10771
";"0.002422
";2
"33
";"142
";"29 + 112 + 0
";"20588
";"20589
";"42261
";"30
";"0
";"0
";"0
";"789
";"0
";"22327
";"0.005517
";all
"9
";"12
";"0 + 11 + 0
";"10319
";"10319
";"21173
";"2
";"0
";"0
";"0
";"97
";"0
";"10422
";"0.002058
";1
"15
";"36
";"6 + 21 + 8
";"10311
";"10311
";"21165
";"10
";"1
";"0
";"0
";"407
";"0
";"10897
";"0.002408
";2
"2
";"3
";"0 + 2 + 0
";"10325
";"18335
";"37197
";"0
";"0
";"0
";"0
";"0
";"0
";"10325
";"0.002409
";all
"118
";"177
";"36 + 140 + 0
";"10327
";"9646
";"19859
";"42
";"0
";"0
";"0
";"991
";"0
";"12061
";"0.003181
";1
"17
";"25
";"2 + 22 + 0
";"10315
";"10315
";"21169
";"7
";"0
";"0
";"0
";"156
";"0
";"10511
";"0.002213
";2
"19
";"41
";"4 + 36 + 0
";"20592
";"20593
";"42265
";"8
";"0
";"0
";"0
";"202
";"0
";"20909
";"0.004878
";all
"3
";"8
";"0 + 7 + 0
";"10320
";"10320
";"21174
";"3
";"0
";"0
";"0
";"94
";"0
";"10463
";"0.002223
";1
"14
";"25
";"1 + 23 + 0
";"10311
";"10311
";"21165
";"5
";"0
";"0
";"0
";"127
";"0
";"10468
";"0.002124
";2
"24
";"161
";"80 + 80 + 0
";"20594
";"20595
";"42267
";"63
";"0
";"0
";"0
";"1729
";"0
";"23427
";"0.006471
";all
"16
";"26
";"3 + 22 + 0
";"10312
";"10312
";"21166
";"5
";"0
";"0
";"0
";"142
";"0
";"10588
";"0.002343
";1
"11
";"15
";"0 + 14 + 0
";"10318
";"10318
";"21172
";"2
";"0
";"0
";"0
";"30
";"0
";"10412
";"0.002068
";2
"27
";"38
";"2 + 35 + 0
";"20592
";"20593
";"42265
";"7
";"0
";"0
";"0
";"172
";"0
";"20927
";"0.00475
";all
"5
";"6
";"0 + 5 + 0
";"10317
";"10317
";"21171
";"0
";"0
";"0
";"0
";"0
";"0
";"10317
";"0.002157
";1
"21
";"75
";"20 + 54 + 0
";"10310
";"10310
";"21164
";"24
";"0
";"0
";"0
";"498
";"0
";"11114
";"0.00254
";2
"24
";"71
";"17 + 53 + 0
";"20590
";"20591
";"42263
";"23
";"0
";"0
";"0
";"512
";"0
";"21357
";"0.005123
";all
"11
";"16
";"0 + 15 + 0
";"10313
";"10313
";"21167
";"3
";"0
";"0
";"0
";"110
";"0
";"10463
";"0.002191
";1
"5
";"10
";"0 + 9 + 0
";"10317
";"10317
";"21171
";"1
";"0
";"0
";"0
";"15
";"0
";"10391
";"0.002171
";2
"0
";"0
";"0 + 0 + 0
";"10312
";"10329
";"21183
";"0
";"0
";"0
";"0
";"0
";"0
";"9788
";"0.001974
";1
"0
";"0
";"0 + 0 + 0
";"10317
";"10331
";"21186
";"0
";"0
";"0
";"0
";"0
";"0
";"9653
";"0.00191
";2
"20
";"33
";"1 + 31 + 0
";"20592
";"20593
";"42265
";"6
";"0
";"0
";"0
";"169
";"0
";"20838
";"0.004805
";all
"10
";"37
";"3 + 33 + 0
";"10314
";"10314
";"21168
";"12
";"0
";"0
";"0
";"208
";"0
";"10703
";"0.002334
";1
"14
";"37
";"17 + 17 + 2
";"10315
";"10315
";"21169
";"10
";"1
";"0
";"0
";"529
";"0
";"10931
";"0.002654
";2
"24
";"82
";"41 + 38 + 2
";"20592
";"20593
";"42265
";"29
";"1
";"0
";"0
";"1388
";"0
";"22355
";"0.006069
";all
"40
";"140
";"59 + 45 + 35
";"10311
";"10311
";"21165
";"39
";"2
";"0
";"0
";"1307
";"0
";"12126
";"0.00373
";1
"7
";"8
";"0 + 7 + 0
";"10318
";"10318
";"21172
";"0
";"0
";"0
";"0
";"0
";"0
";"10318
";"0.002001
";2
"30
";"125
";"45 + 61 + 18
";"20591
";"20592
";"42264
";"26
";"1
";"0
";"0
";"701
";"0
";"22212
";"0.005801
";all
"12
";"19
";"2 + 16 + 0
";"10313
";"10313
";"21167
";"5
";"0
";"0
";"0
";"234
";"0
";"10637
";"0.00243
";1
"7
";"16
";"0 + 15 + 0
";"10319
";"10319
";"21173
";"3
";"0
";"0
";"0
";"52
";"0
";"10537
";"0.002181
";2
"19
";"35
";"2 + 32 + 0
";"20595
";"20596
";"42268
";"8
";"0
";"0
";"0
";"286
";"0
";"21178
";"0.005052
";all
"6
";"7
";"0 + 6 + 0
";"10320
";"10320
";"21174
";"0
";"0
";"0
";"0
";"0
";"0
";"10320
";"0.002212
";2
"22
";"93
";"39 + 53 + 0
";"20593
";"20594
";"42266
";"40
";"0
";"0
";"0
";"1210
";"0
";"22326
";"0.005507
";all
"1
";"3
";"0 + 2 + 0
";"10320
";"10320
";"21174
";"1
";"0
";"0
";"0
";"47
";"0
";"10394
";"0.002168
";1
"7
";"8
";"0 + 7 + 0
";"10316
";"10316
";"21170
";"0
";"0
";"0
";"0
";"0
";"0
";"10316
";"0.002209
";2
"8
";"9
";"0 + 8 + 0
";"20599
";"20600
";"42272
";"0
";"0
";"0
";"0
";"0
";"0
";"20599
";"0.004451
";all
"11
";"35
";"14 + 17 + 3
";"10315
";"10315
";"21169
";"11
";"1
";"0
";"0
";"582
";"0
";"10979
";"0.002625
";1
"12
";"21
";"1 + 19 + 0
";"10314
";"10314
";"21168
";"6
";"0
";"0
";"0
";"174
";"0
";"10476
";"0.002283
";2
