max_decision;#decision;detail;#vars;#clauses;#literals;added_confilcts;shrink;deleted_conflict_clauses;delete_clauses;added_confilcts_literals;deleted_total_literals;implications;run_time;type
"2
";"3
";"0 + 2 + 0
";"10333
";"10333
";"21187
";"0
";"0
";"0
";"0
";"0
";"0
";"10333
";"0.00141
";1
"0
";"1
";"0 + 0 + 0
";"10337
";"10337
";"21191
";"0
";"0
";"0
";"0
";"0
";"0
";"10337
";"0.002032
";2
"0
";"1
";"0 + 0 + 0
";"19618
";"19634
";"40316
";"0
";"0
";"0
";"0
";"0
";"0
";"19618
";"0.004508
";all
"4
";"5
";"0 + 4 + 0
";"10328
";"10328
";"21182
";"0
";"0
";"0
";"0
";"0
";"0
";"10328
";"0.001381
";1
"0
";"1
";"0 + 0 + 0
";"10338
";"10338
";"21192
";"0
";"0
";"0
";"0
";"0
";"0
";"10338
";"0.001555
";2
"2
";"3
";"0 + 2 + 0
";"19616
";"19632
";"40314
";"0
";"0
";"0
";"0
";"0
";"0
";"19616
";"0.004124
";all
"4
";"5
";"0 + 4 + 0
";"10329
";"10329
";"21183
";"0
";"0
";"0
";"0
";"0
";"0
";"10329
";"0.001445
";2
"0
";"1
";"0 + 0 + 0
";"19615
";"19631
";"40313
";"0
";"0
";"0
";"0
";"0
";"0
";"19615
";"0.003158
";all
"0
";"1
";"0 + 0 + 0
";"10326
";"10326
";"21180
";"0
";"0
";"0
";"0
";"0
";"0
";"10326
";"0.002142
";1
"0
";"1
";"0 + 0 + 0
";"10341
";"10341
";"21195
";"0
";"0
";"0
";"0
";"0
";"0
";"10341
";"0.001305
";2
"0
";"1
";"0 + 0 + 0
";"19614
";"19630
";"40312
";"0
";"0
";"0
";"0
";"0
";"0
";"19614
";"0.004651
";all
"0
";"1
";"0 + 0 + 0
";"10331
";"10331
";"21185
";"0
";"0
";"0
";"0
";"0
";"0
";"10331
";"0.00203
";1
"0
";"1
";"0 + 0 + 0
";"10335
";"10335
";"21189
";"0
";"0
";"0
";"0
";"0
";"0
";"10335
";"0.001445
";2
"0
";"1
";"0 + 0 + 0
";"19616
";"19632
";"40314
";"0
";"0
";"0
";"0
";"0
";"0
";"19616
";"0.002777
";all
"0
";"1
";"0 + 0 + 0
";"10333
";"10333
";"21187
";"0
";"0
";"0
";"0
";"0
";"0
";"10333
";"0.002265
";1
"1
";"2
";"0 + 1 + 0
";"10335
";"10335
";"21189
";"0
";"0
";"0
";"0
";"0
";"0
";"10335
";"0.001295
";2
"0
";"1
";"0 + 0 + 0
";"19617
";"19633
";"40315
";"0
";"0
";"0
";"0
";"0
";"0
";"19617
";"0.004151
";all
